2011-04-13 00:00:00,Aon Corporation Declares Quarterly Dividend
2011-05-24 00:00:00,Aon Corporation Prepping Five Year Senior Unsecured Note
2011-07-15 00:00:00,Aon Corporation Declares Quarterly Dividend
2011-07-19 00:00:00,Aon Corporation Acquires Ward Financial Group
2012-02-27 00:00:00,Aon Aon Affinity Announces Definitive Agreement To Acquire Access Plans
2012-10-22 00:00:00,Aon Aon Hewitt To Acquire Workday Services Company
2012-10-25 00:00:00,Aon Closes Patent Risk Gap With Exclusive Patent Risk Management Solution
